headline,category,publish_date,access_date,video,url
Pride,us,2020-06-27,2020-06-27,False,/2020/06/27/us/virtual-pride-events-trnd/index.html
Elijah McClain,us,2020-06-27,2020-06-27,False,/2020/06/27/us/elijah-mcclain-investigation-saturday/index.html
Atlanta police,us,2020-06-27,2020-06-27,False,/2020/06/27/us/atlanta-police-rayshard-brooks-shooting-sick-outs/index.html
'Dixie' explainer,us,2020-06-27,2020-06-27,False,/2020/06/27/us/dixie-term-south-racism-black-lives-matter-trnd/index.html
'I ♥ NY' designer,us,2020-06-27,2020-06-27,False,/2020/06/27/us/milton-glaser-obituary-designer-bob-dylan-logo-trnd/index.html
Woodrow Wilson,us,2020-06-27,2020-06-27,False,/2020/06/27/us/woodrow-wilson-princeton-university-trnd/index.html
'Family Guy' voice actor,entertainment,2020-06-27,2020-06-27,False,/2020/06/27/entertainment/mike-henry-cleveland-family-guy-trnd/index.html
Locusts swarm,india,2020-06-27,2020-06-27,False,/2020/06/27/india/india-desert-locusts-gurgaon-intl/index.html
"As Americans struggle to balance staying home with feeling like they need to get out, here's what health experts want you to know",health,-www.cnn.com-interactive,2020-06-27,False,https://www.cnn.com/interactive/2020/health/reopening-coronavirus/travel_vacation.html
Coronavirus cases linked to Michigan bar multiply,us,2020-06-27,2020-06-27,False,/2020/06/27/us/michigan-coronavirus-bar-harpers/index.html
12 states pause reopening as coronavirus cases surge in US,health,2020-06-27,2020-06-27,False,/2020/06/27/health/us-coronavirus-saturday/index.html
Doctor on Covid-19 task force briefings: 'Stop screwing around',health,2020-06-27,2020-06-27,True,/videos/health/2020/06/27/coronavirus-task-force-briefings-dr-peter-hotez-nr-vpx.cnn
Analysis: What Cuomo wants Trump to admit about coronavirus,politics,2020-06-27,2020-06-27,False,/2020/06/27/politics/andrew-cuomo-donald-trump-coronavirus-pandemic/index.html
A professor is reviewing every drug being tried against Covid-19. Here's what he's found,health,2020-06-27,2020-06-27,False,/2020/06/27/health/coronavirus-treatment-fajgenbaum-drug-review-scn-wellness/index.html
"Texas reports 5,747 new coronavirus cases today",health,-www.cnn.com-world,2020-06-27,False,https://www.cnn.com/world/live-news/coronavirus-pandemic-06-27-20-intl/h_9108c908767b67b59cbef9c45157f5df
Laura Coates: This is proof that this country is in crisis,us,2020-06-27,2020-06-27,True,/videos/us/2020/06/27/coates-monologue-pence-trump-coronavirus-ctn-vpx.cnn
Restrictions leave US travelers high and dry,travel,travel-article-us-citizens-international-travel-problems-covid-19,2020-06-27,False,/travel/article/us-citizens-international-travel-problems-covid-19/index.html
Trump campaign postpones Pence's campaign events in Florida and Arizona ,politics,2020-06-27,2020-06-27,False,/2020/06/27/politics/trump-campaign-postpones-pence-campaign-events-florida-arizona/index.html
"Fact-checking Biden on GOP tax cuts, NAACP endorsement, and other false and misleading claims",politics,2020-06-27,2020-06-27,False,/2020/06/27/politics/joe-biden-fact-check-gop-tax-cuts-naacp-endorsement/index.html
